State,ScaleBar,text,year,month
SC,-0.22448979591836735,SC: -0.2,2018,7
SD,-0.5454545454545454,SD: -0.5,2018,7
TN,-0.2727272727272727,TN: -0.3,2018,7
TX,-1.7361111111111112,TX: -1.7,2018,7
UT,-2.2,UT: -2.2,2018,7
VA,-0.5185185185185185,VA: -0.5,2018,7
VT,-1.0,VT: -1.0,2018,7
WA,-1.4333333333333333,WA: -1.4,2018,7
WI,-0.7948717948717948,WI: -0.8,2018,7
WV,0.2727272727272727,WV: 0.3,2018,7
WY,-0.6842105263157895,WY: -0.7,2018,7
AK,2.0,AK: 2.0,2018,8
AL,-1.7777777777777777,AL: -1.8,2018,8
AR,-0.25,AR: -0.2,2018,8
AZ,-1.125,AZ: -1.1,2018,8
CA,-1.6521739130434783,CA: -1.7,2018,8
CAN,-1.5576923076923077,CAN: -1.6,2018,8
CO,-2.1641791044776117,CO: -2.2,2018,8
CT,1.1111111111111112,CT: 1.1,2018,8
DE,0.25,DE: 0.2,2018,8
FL,0.6119402985074627,FL: 0.6,2018,8
GA,0.7333333333333333,GA: 0.7,2018,8
IA,-2.230769230769231,IA: -2.2,2018,8
ID,-2.25,ID: -2.2,2018,8
IL,-1.027027027027027,IL: -1.0,2018,8
IN,0.5609756097560976,IN: 0.6,2018,8
KS,-1.0357142857142858,KS: -1.0,2018,8
KY,0.18181818181818182,KY: 0.2,2018,8
LA,-0.2,LA: -0.2,2018,8
MA,0.1111111111111111,MA: 0.1,2018,8
MD,1.2307692307692308,MD: 1.2,2018,8
ME,-0.7142857142857143,ME: -0.7,2018,8
MI,-0.5818181818181818,MI: -0.6,2018,8
MN,-1.2380952380952381,MN: -1.2,2018,8
MO,-1.4,MO: -1.4,2018,8
MS,-0.9090909090909091,MS: -0.9,2018,8
MT,-1.3333333333333333,MT: -1.3,2018,8
NC,0.7464788732394366,NC: 0.7,2018,8
ND,-1.3333333333333333,ND: -1.3,2018,8
NE,-0.5,NE: -0.5,2018,8
NH,0.3076923076923077,NH: 0.3,2018,8
NJ,0.3333333333333333,NJ: 0.3,2018,8
NM,-1.14,NM: -1.1,2018,8
NV,-1.8,NV: -1.8,2018,8
NY,0.42424242424242425,NY: 0.4,2018,8
OH,0.027777777777777776,OH: 0.0,2018,8
OK,-0.46153846153846156,OK: -0.5,2018,8
OR,-2.125,OR: -2.1,2018,8
PA,1.52,PA: 1.5,2018,8
RI,-1.1666666666666667,RI: -1.2,2018,8
SC,0.21739130434782608,SC: 0.2,2018,8
SD,-2.1,SD: -2.1,2018,8
TN,-0.07692307692307693,TN: -0.1,2018,8
TX,-1.878787878787879,TX: -1.9,2018,8
UT,-2.75,UT: -2.8,2018,8
VA,1.0476190476190477,VA: 1.0,2018,8
VT,0.5,VT: 0.5,2018,8
WA,-2.24,WA: -2.2,2018,8
WI,-0.8333333333333334,WI: -0.8,2018,8
WV,1.4545454545454546,WV: 1.5,2018,8
WY,0.0,WY: 0.0,2018,8
AK,0.8333333333333334,AK: 0.8,2018,9
AL,-1.2380952380952381,AL: -1.2,2018,9
AR,-0.5,AR: -0.5,2018,9
AZ,-1.1578947368421053,AZ: -1.2,2018,9
CA,-1.5,CA: -1.5,2018,9
CAN,-1.074468085106383,CAN: -1.1,2018,9
CO,-2.2777777777777777,CO: -2.3,2018,9
CT,0.52,CT: 0.5,2018,9
DE,0.2,DE: 0.2,2018,9
FL,0.2676056338028169,FL: 0.3,2018,9
GA,-0.4166666666666667,GA: -0.4,2018,9
IA,0.1875,IA: 0.2,2018,9
ID,-2.5,ID: -2.5,2018,9
IL,0.22388059701492538,IL: 0.2,2018,9
IN,0.7419354838709677,IN: 0.7,2018,9
KS,0.13793103448275862,KS: 0.1,2018,9
KY,0.36363636363636365,KY: 0.4,2018,9
LA,0.8333333333333334,LA: 0.8,2018,9
MA,0.30434782608695654,MA: 0.3,2018,9
MD,2.0,MD: 2.0,2018,9
ME,-1.0588235294117647,ME: -1.1,2018,9
MI,0.4716981132075472,MI: 0.5,2018,9
MN,0.3125,MN: 0.3,2018,9
MO,-0.047619047619047616,MO: -0.0,2018,9
MS,0.5,MS: 0.5,2018,9
MT,-0.6666666666666666,MT: -0.7,2018,9
NC,0.275,NC: 0.3,2018,9
ND,0.2,ND: 0.2,2018,9
NE,0.0,NE: 0.0,2018,9
NH,-0.2,NH: -0.2,2018,9
NJ,0.2727272727272727,NJ: 0.3,2018,9
NM,-1.1694915254237288,NM: -1.2,2018,9
NV,-3.0,NV: -3.0,2018,9
NY,0.43548387096774194,NY: 0.4,2018,9
OH,0.8055555555555556,OH: 0.8,2018,9
OK,0.9,OK: 0.9,2018,9
OR,-1.8620689655172413,OR: -1.9,2018,9
PA,2.25,PA: 2.2,2018,9
RI,-1.5,RI: -1.5,2018,9
SC,-0.46808510638297873,SC: -0.5,2018,9
SD,-2.0,SD: -2.0,2018,9
TN,-0.8,TN: -0.8,2018,9
TX,0.5164835164835165,TX: 0.5,2018,9
UT,-3.0,UT: -3.0,2018,9
VA,1.3636363636363635,VA: 1.4,2018,9
VT,-0.25,VT: -0.2,2018,9
WA,-1.4642857142857142,WA: -1.5,2018,9
WI,0.4411764705882353,WI: 0.4,2018,9
WV,1.7142857142857142,WV: 1.7,2018,9
WY,-0.6666666666666666,WY: -0.7,2018,9
AK,0.2,AK: 0.2,2018,10
AL,-1.0,AL: -1.0,2018,10
AR,1.0,AR: 1.0,2018,10
AZ,-0.6,AZ: -0.6,2018,10
CA,-1.0384615384615385,CA: -1.0,2018,10
CAN,0.03896103896103896,CAN: 0.0,2018,10
CO,-1.8703703703703705,CO: -1.9,2018,10
CT,1.625,CT: 1.6,2018,10
DE,0.0,DE: 0.0,2018,10
FL,-0.3870967741935484,FL: -0.4,2018,10
GA,0.0,GA: 0.0,2018,10
IA,1.1428571428571428,IA: 1.1,2018,10
ID,-0.625,ID: -0.6,2018,10
IL,0.15254237288135594,IL: 0.2,2018,10
IN,-0.045454545454545456,IN: -0.0,2018,10
KS,0.8333333333333334,KS: 0.8,2018,10
KY,0.3333333333333333,KY: 0.3,2018,10
LA,0.25,LA: 0.2,2018,10
MA,0.6153846153846154,MA: 0.6,2018,10
MD,1.7777777777777777,MD: 1.8,2018,10
ME,0.0,ME: 0.0,2018,10
MI,1.0689655172413792,MI: 1.1,2018,10
MN,0.7777777777777778,MN: 0.8,2018,10
MO,0.15,MO: 0.1,2018,10
MS,0.6,MS: 0.6,2018,10
MT,-0.2,MT: -0.2,2018,10
NC,0.4745762711864407,NC: 0.5,2018,10
ND,0.75,ND: 0.8,2018,10
NE,0.25,NE: 0.2,2018,10
NH,0.2,NH: 0.2,2018,10
NJ,1.1818181818181819,NJ: 1.2,2018,10
NM,-1.1754385964912282,NM: -1.2,2018,10
NV,-0.6,NV: -0.6,2018,10
NY,1.0461538461538462,NY: 1.0,2018,10
OH,0.3333333333333333,OH: 0.3,2018,10
OK,1.5,OK: 1.5,2018,10
OR,-1.096774193548387,OR: -1.1,2018,10
PA,2.142857142857143,PA: 2.1,2018,10
RI,0.5714285714285714,RI: 0.6,2018,10
SC,0.030303030303030304,SC: 0.0,2018,10
SD,-2.3333333333333335,SD: -2.3,2018,10
TN,0.2857142857142857,TN: 0.3,2018,10
TX,1.5194805194805194,TX: 1.5,2018,10
