State,ScAlabamaeBArkansas,text,yeArkansas,month
Texas,-1.049180328,TX: -1.0,2018,5
Virginia,0.433333333,VA: 0.4,2018,5
Vermont,-0.2,VT: -0.2,2018,5
Washington,-0.166666667,WA: -0.2,2018,5
Wisconsin,0.633333333,WI: 0.6,2018,5
West Virginia,1,WV: 1.0,2018,5
Wyoming,0.611111111,WY: 0.6,2018,5
Alabama,-0.5,Alabama: -0.5,2018,6
Arkansas,-1,Arkansas: -1.0,2018,6
Arizona,-2.487179487,Arizona: -2.5,2018,6
California,-0.75,CA: -0.8,2018,6
CAN,-0.675496689,CAN: -0.7,2018,6
Colorado,-2.115384615,CO: -2.1,2018,6
Connecticut,-0.611111111,CT: -0.6,2018,6
Delaware,0.2,DE: 0.2,2018,6
Florida,0.363636364,FL: 0.4,2018,6
Georgia,0.714285714,GA: 0.7,2018,6
Iowa,0.333333333,IA: 0.3,2018,6
Idaho,0.142857143,ID: 0.1,2018,6
Illinois,0.153846154,IL: 0.2,2018,6
Indiana,0.16,IN: 0.2,2018,6
Kansas,-1.064516129,KS: -1.1,2018,6
Kentucky,-0.538461538,KY: -0.5,2018,6
Louisiana,-0.25,LA: -0.2,2018,6
Massachusetts,-1,MA: -1.0,2018,6
Maryland,1.153846154,MD: 1.2,2018,6
Maine,-1.058823529,ME: -1.1,2018,6
Michigan,0.145454545,MI: 0.1,2018,6
Minnesota,0.941176471,MN: 0.9,2018,6
Missouri,-0.538461538,MO: -0.5,2018,6
Mississippi,0.416666667,MS: 0.4,2018,6
Montana,1.5,MT: 1.5,2018,6
North Carolina,-0.168539326,NC: -0.2,2018,6
North Dakota,-0.666666667,ND: -0.7,2018,6
Nebraska,-1.25,NE: -1.2,2018,6
New Hampshire,-1.222222222,NH: -1.2,2018,6
New Jersey,0.692307692,NJ: 0.7,2018,6
New Mexico,-2.769230769,NM: -2.8,2018,6
Nevada,-0.4,NV: -0.4,2018,6
New York,-0.694444444,NY: -0.7,2018,6
Ohio,0.147058824,OH: 0.1,2018,6
Oklahoma,-0.454545455,OK: -0.5,2018,6
Oregon,-0.826086957,OR: -0.8,2018,6
Pennsylvania,0.217391304,PA: 0.2,2018,6
Rhode Island,-0.25,RI: -0.2,2018,6
South Carolina,0.045454545,SC: 0.0,2018,6
South Dakota,-0.111111111,SD: -0.1,2018,6
Tennessee,0,TN: 0.0,2018,6
Texas,-1.578947368,TX: -1.6,2018,6
Utah,-1.4,UT: -1.4,2018,6
Virginia,1.148148148,VA: 1.1,2018,6
Vermont,-1.2,VT: -1.2,2018,6
Washington,-0.083333333,WA: -0.1,2018,6
Wisconsin,0.35483871,WI: 0.4,2018,6
